Type,Method,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Blend_L,Blend_A,Blend_B,CompensatedBlend_L,CompensatedBlend_a,CompensatedBlend_b,BGLValue,FGLValue,NuetralValue,Region,Blend_Original_Distance,ComBlend_Original_Distance,Accuracy
BP,TD,0x65463c,32.3644529,12.37174226,11.96866537,76.34496295,-43.29164321,57.46412424,73.97497734,-64.32584166,59.19910071,78.38457166,-50.55435734,49.06474145,75.33158631,-56.40313287,53.41534022,0,1,1,2,12.83875574,6.297067104,50.95%
BP,TD,0xa44881,44.50576959,46.05711062,-14.41293117,85.70118135,-33.09123183,9.243298802,85.58972203,-40.32788162,-5.249932354,92.29214252,-15.78335806,-9.42582877,93.44663951,-31.7373809,-0.330664675,1,1,1,3,25.78360308,12.63831672,50.98%
BP,TD,0xa44881,44.50576959,46.05711062,-14.41293117,76.34496295,-43.29164321,57.46412424,73.97497734,-64.32584166,59.19910071,82.27709308,-24.97351155,28.86426768,89.68778988,-47.4981564,48.61152066,1,1,1,2,44.55704653,21.83383026,51.00%
BP,TD,0xa44881,44.50576959,46.05711062,-14.41293117,76.34496295,-43.29164321,57.46412424,73.97497734,-64.32584166,59.19910071,82.27709308,-24.97351155,28.86426768,89.68778988,-47.4981564,48.61152066,1,1,1,2,44.55704653,21.83383026,51.00%
BP,TD,0x8c9f29,62.52076299,-22.90277981,57.6760033,57.38608626,23.37373213,-47.41317754,52.72990879,40.30765319,-78.92928978,76.94209715,6.265111363,-34.07900735,69.31294565,29.54997436,-52.90871439,1,1,1,5,54.10910307,26.49681916,51.03%
BP,TD,0xcc891a,62.79081426,17.1984926,64.87891672,52.42024361,37.25877726,31.80660656,40.60568261,32.95403771,18.79373935,71.45417798,25.80309819,53.00076862,64.56507093,26.15572093,10.91694718,1,1,1,1,49.85153646,24.3827794,51.09%
BP,TD,0xac4759,44.21220949,44.46617137,11.06202252,41.61871346,74.76585694,-49.67510592,36.35705784,67.70602174,-67.19557782,55.25783167,69.30172487,-44.67733803,50.51190307,67.40484128,-64.59299421,1,0,1,5,29.4424293,14.39526987,51.11%
BP,TD,0x4b4448,28.94227574,3.851045134,-1.210267161,34.06957937,17.99811753,17.68287785,22.70593788,8.594755204,2.099576135,40.15648447,8.808343567,0.802723033,33.53222755,11.82600647,0.638034822,0,0,1,1,12.17606463,5.94906214,51.14%
BP,TD,0xd4aa00,71.72807924,2.00251253,79.47601408,67.07580317,9.231095042,-13.87035312,61.59809805,5.985160365,-35.53722837,88.53851757,4.725190517,6.716991194,82.02294752,16.36250408,-26.92243361,1,1,0,5,50.12776475,24.47607867,51.17%
BP,TD,0xc26623,53.23649988,32.76901856,53.92474708,57.35396272,18.30236383,42.26707041,46.65802865,10.19857142,31.98643192,67.14051255,29.2340859,50.27990037,61.85931989,18.11630506,31.50976695,1,1,1,1,36.28788349,17.70949906,51.20%
BP,TD,0x566789,43.6537329,2.214103317,-21.2084622,43.29712869,41.86509734,-51.78433829,37.07782997,54.06401688,-77.19196673,57.89439624,33.830674,-64.88550811,52.86731401,46.43949697,-75.9860364,1,0,1,5,24.05569781,11.73883732,51.20%
BP,TD,0xac4759,44.21220949,44.46617137,11.06202252,52.86102051,18.26927528,9.084349022,41.93031631,13.86123543,-7.146160939,61.83117712,36.96604674,1.073255871,58.17968123,22.45489708,-5.985122472,1,1,0,1,28.32420069,13.82124917,51.20%
BP,TD,0x566789,43.6537329,2.214103317,-21.2084622,71.45672123,37.09091312,37.58947676,61.96788457,34.9137034,26.54232592,72.28193653,24.08398714,5.597532908,69.34827699,29.37916483,17.77765021,1,1,1,1,24.2958823,11.83999625,51.27%
BP,TD,0x566789,43.6537329,2.214103317,-21.2084622,71.45672123,37.09091312,37.58947676,61.96788457,34.9137034,26.54232592,72.28193653,24.08398714,5.597532908,69.34827699,29.37916483,17.77765021,1,1,1,1,24.2958823,11.83999625,51.27%
BP,TD,0xac4759,44.21220949,44.46617137,11.06202252,81.09846155,-0.806648934,72.49157622,75.96479737,-14.28733771,74.08267045,83.65268634,7.117426828,58.81081089,85.25871154,-17.28042385,63.43204243,1,1,1,1,26.50524054,12.91453892,51.28%
BP,TD,0x8c9f29,62.52076299,-22.90277981,57.6760033,44.2940987,-17.18511479,-21.96419779,38.61209123,-1.492320301,-34.83174709,71.75849071,-19.95033362,9.087984763,66.40174865,5.260624203,-29.78449428,1,0,1,4,55.33109038,26.92774965,51.33%
BP,TD,0x9c2a32,35.4962522,49.21203717,25.34967429,37.15341838,69.52803218,-49.15859685,33.29665491,58.02236555,-62.4211446,47.52577744,67.42368459,-41.70433216,43.45405707,64.25849728,-57.10736801,0,0,1,5,26.83354329,13.04984211,51.37%
BP,TD,0x3b7e38,47.45622256,-38.23279275,33.25689312,34.19212713,27.65312725,-27.92729987,25.4122145,28.7153185,-43.8323011,54.44886415,-11.4863403,-11.95824338,57.66020378,23.50010479,-43.7917827,1,0,1,5,60.9336023,29.62029852,51.39%
BP,TD,0xc26623,53.23649988,32.76901856,53.92474708,62.25087154,18.35015269,4.896115366,53.09147881,12.41667856,-12.17362754,71.14126185,28.89651722,13.73538761,67.87911382,19.06758985,-6.146300405,1,1,0,6,35.61820905,17.29848093,51.43%
BP,TD,0x6c6667,43.97367616,2.583174166,0.287111223,57.52594545,-18.95175306,23.33331848,49.98966425,-27.77799197,14.90231415,67.73960725,-21.31255415,11.624389,61.39450715,-26.70037747,18.68357089,1,1,1,2,16.8671889,8.184855009,51.47%
BP,TD,0x9c2a32,35.4962522,49.21203717,25.34967429,76.19841549,-33.3262202,57.23947908,72.55812094,-52.96319411,58.58742228,78.39398043,-24.09186862,53.15551365,86.06586199,-48.24352455,54.51152672,0,1,1,2,29.37247957,14.23143014,51.55%
BP,TD,0x566789,43.6537329,2.214103317,-21.2084622,57.52594545,-18.95175306,23.33331848,49.98966425,-27.77799197,14.90231415,67.57605291,-21.63687517,-2.533148603,64.94272311,-30.29698097,8.863771399,1,1,1,2,24.69327438,11.96361966,51.55%
BP,TD,0x566789,43.6537329,2.214103317,-21.2084622,57.52594545,-18.95175306,23.33331848,49.98966425,-27.77799197,14.90231415,67.57605291,-21.63687517,-2.533148603,64.94272311,-30.29698097,8.863771399,1,1,1,2,24.69327438,11.96361966,51.55%
BP,TD,0x9c2a32,35.4962522,49.21203717,25.34967429,67.06365966,4.471056801,-13.96451079,61.79632807,3.267234386,-36.57232783,68.68884321,23.7353186,-27.56034442,69.85870004,9.530205359,-31.66558248,0,1,0,4,23.40224523,11.32708246,51.60%
BP,TD,0x8e888a,57.79049419,2.698040985,-0.256329082,71.57117581,13.83184174,37.40371175,63.23115072,3.480911261,31.03160339,80.52767937,6.321207147,14.0295311,71.12945993,7.115965,17.82506467,1,1,1,1,19.47831617,9.423871165,51.62%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,14.92606993,29.32767262,-11.35450403,12.22141726,11.51051056,-16.87339725,21.99249135,12.3714962,-12.87721893,18.26922965,10.734454,-17.25042548,0,0,1,6,8.944344207,4.32669638,51.63%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,14.92606993,29.32767262,-11.35450403,12.22141726,11.51051056,-16.87339725,21.99249135,12.3714962,-12.87721893,18.26922965,10.734454,-17.25042548,0,0,1,6,8.944344207,4.32669638,51.63%
BP,TD,0xd4aa00,71.72807924,2.00251253,79.47601408,48.23139853,23.13761554,4.693435736,37.38995168,18.06922448,-8.834435205,79.49732166,9.293847781,41.85010621,74.87885962,21.07743575,-14.04004955,1,0,1,6,67.93575464,32.85282599,51.64%
BP,TD,0xd4aa00,71.72807924,2.00251253,79.47601408,60.73324843,28.8198528,67.20209749,51.46775144,21.04686442,49.36948574,84.21793994,10.92720854,84.52625834,75.15207882,14.89962434,49.30877769,1,1,1,1,46.33591637,22.40594373,51.64%
BP,TD,0x213785,25.01743187,22.19335206,-48.55347934,71.47266811,33.16238867,-42.6552711,67.88034634,47.04141422,-55.3787132,71.02996827,48.62853149,-49.94833057,69.42043672,47.65561701,-52.72338496,0,1,1,5,6.475192276,3.130477844,51.65%
BP,TD,0xcc891a,62.79081426,17.1984926,64.87891672,76.36208872,-14.92951772,57.2902422,71.54818311,-32.07393943,59.02607351,89.41953114,-10.80540145,75.14079662,84.11480179,-22.03071347,59.01716036,1,1,1,1,33.10295147,15.97709434,51.74%
BP,TD,0x50345f,25.69346046,23.21158418,-22.45894269,71.39454192,22.89319566,56.88113801,62.14294995,18.7296851,51.52360698,65.68503345,21.55871768,27.21428808,67.600875,13.83384881,40.05009542,0,1,1,1,22.33242397,10.77784746,51.74%
BP,TD,0x4b4448,28.94227574,3.851045134,-1.210267161,90.44538749,-62.55677581,66.94082669,92.54174664,-85.15509042,71.98209727,95.268442,-78.36833121,59.05856539,90.96692214,-80.60019962,65.29042656,0,1,1,2,8.511402247,4.107408874,51.74%
BP,TD,0x8c9f29,62.52076299,-22.90277981,57.6760033,43.48636391,19.00662309,-4.9627213,32.19082647,17.27641712,-19.74584745,70.49739504,-11.98853295,22.15308758,66.65384457,5.937001715,-22.59023311,1,0,0,6,60.60298066,29.22255865,51.78%
BP,TD,0x505a3b,36.44233007,-10.57881012,18.05176604,29.80017701,13.29178683,-27.75388783,21.79926503,16.33591987,-40.92744433,43.980908,4.075890552,-21.09010302,41.96130753,20.88758227,-46.57235819,0,0,1,5,34.53829323,16.65073794,51.79%
BP,TD,0x50345f,25.69346046,23.21158418,-22.45894269,90.56597947,-0.002406856,-4.579563494,90.12102062,-4.587249429,-17.03272306,92.22431732,-0.45791869,-13.40634945,91.5200904,-4.067281206,-14.6205338,0,1,0,4,5.884370397,2.83662127,51.79%
BP,TD,0x8c9f29,62.52076299,-22.90277981,57.6760033,62.12373102,32.53028874,27.87983867,51.26137415,29.41887763,14.56707666,76.3815769,1.771784868,44.50784961,72.86261973,21.35775284,13.66307356,1,1,1,1,47.87312617,23.07407127,51.80%
BP,TD,0x505a3b,36.44233007,-10.57881012,18.05176604,43.76006164,-8.877777249,-32.48206011,37.95883722,12.7006933,-51.09232691,53.21116507,-0.448658762,-33.68349764,47.77762301,14.84659341,-46.50871841,0,0,1,4,20.8794962,10.04300599,51.90%
BP,TD,0xc26623,53.23649988,32.76901856,53.92474708,61.23390239,82.06554293,-53.41041075,57.41486037,91.92793434,-73.42265454,73.74839053,80.24713598,-45.26139563,63.25876844,77.20286997,-63.34695097,1,1,1,5,34.04565711,16.35854841,51.95%
BP,TD,0x8c9f29,62.52076299,-22.90277981,57.6760033,43.22714833,17.77162353,-47.15613991,37.71650384,34.40102462,-70.48532488,71.81587716,-1.27336601,-20.66099067,69.31294565,29.54997436,-52.90871439,1,0,1,4,64.54062901,31.00963158,51.95%
BP,TD,0x50345f,25.69346046,23.21158418,-22.45894269,76.41076033,18.48748663,-23.50383153,73.32762964,20.51922964,-45.98684545,76.25812678,24.16125253,-40.93426417,70.47498123,18.89027344,-46.35659878,0,1,1,5,6.883365587,3.305725152,51.98%
BP,TD,0x6c6667,43.97367616,2.583174166,0.287111223,80.90255721,-52.33600011,51.98415805,80.09233489,-71.40234822,50.50836086,86.98705404,-54.12370627,35.94402234,84.14507381,-60.25691433,47.07856338,1,1,1,2,16.79977353,8.052253491,52.07%
BP,TD,0x65463c,32.3644529,12.37174226,11.96866537,76.24943955,-4.844184798,28.2156564,71.06353877,-19.56513894,21.59920676,75.77849605,-13.51768004,22.76062542,71.94201353,-22.18130001,24.08844419,0,1,1,1,7.755738172,3.716492921,52.08%
BP,TD,0x566789,43.6537329,2.214103317,-21.2084622,62.0896327,-37.77888967,23.15595649,57.45345407,-42.29129723,14.97889676,68.74402114,-28.82624085,-2.796320067,65.63952142,-35.95725039,8.970244588,1,1,1,3,24.9948591,11.96811384,52.12%
BP,TD,0xc26623,53.23649988,32.76901856,53.92474708,52.64774895,37.55962009,-37.76961326,45.75721969,44.28021098,-63.33459756,69.47546572,50.33177255,-36.57206849,63.77307612,57.18321174,-62.46021358,1,1,1,5,35.76921755,17.12062768,52.14%
BP,TD,0x65463c,32.3644529,12.37174226,11.96866537,34.19040371,13.32363792,27.81799485,23.35485669,3.268477471,9.966082421,42.4873892,11.29516044,13.59653866,35.55287028,7.274999559,8.46755557,0,0,1,1,16.13470487,7.719030555,52.16%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,52.29306392,57.14002397,-5.372662668,42.29239019,56.57732907,-24.49269497,44.7636455,50.88518189,-23.66959372,41.49815922,54.24714889,-25.11122743,0,1,1,6,3.435738301,1.642490525,52.19%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,32.87442213,-38.87732717,33.79769574,26.97556961,-24.71499244,14.33322979,35.45589026,-20.8448501,12.19307521,35.37716627,-26.77936628,14.65389149,0,0,1,3,10.52818717,5.029948328,52.22%
BP,TD,0xac4759,44.21220949,44.46617137,11.06202252,85.81540813,-28.69978741,28.31776793,84.34182807,-46.79607301,19.81533165,91.10316756,-21.14488694,20.88672933,93.94149732,-38.54548147,20.62110808,1,1,1,2,26.54895387,12.68365823,52.23%
BP,TD,0xd4aa00,71.72807924,2.00251253,79.47601408,57.36277164,37.65699238,8.748949067,46.86277332,34.24099704,-8.798202315,81.38525482,17.07598583,42.35736274,76.00203551,26.59956692,-13.96945055,1,1,1,6,64.0572492,30.56517403,52.28%
BP,TD,0xd4aa00,71.72807924,2.00251253,79.47601408,57.36277164,37.65699238,8.748949067,46.86277332,34.24099704,-8.798202315,81.38525482,17.07598583,42.35736274,76.00203551,26.59956692,-13.96945055,1,1,1,6,64.0572492,30.56517403,52.28%
BP,TD,0x3b7e38,47.45622256,-38.23279275,33.25689312,43.1506668,42.45508877,-14.65039692,33.88899063,40.04784821,-32.15721267,58.56014739,-0.721254712,-5.103307488,59.98348099,27.14539306,-30.33027666,1,0,1,6,50.84612827,24.25341267,52.30%
BP,TD,0xd8d1ce,84.66548038,2.027715988,2.190262574,71.48054432,28.4383461,-9.917338602,65.50267986,29.40664794,-33.06637392,100,0,0,87.96297421,21.67120413,-20.75349274,1,1,1,6,56.10883285,26.75647504,52.31%
BP,TD,0x5aa294,62.22900845,-26.47398035,0.064705899,66.73788337,51.93901256,-18.94095564,60.55147747,55.45363228,-42.92580363,81.48968407,19.1208589,-29.78025033,76.59176689,40.52765268,-40.35902261,1,1,1,6,39.45727274,18.80879244,52.33%
BP,TD,0xcc891a,62.79081426,17.1984926,64.87891672,55.8335634,88.87700372,-30.71066389,53.10782408,77.6351472,-46.63840637,77.56796744,58.32798356,-8.691607095,72.24631745,64.21742607,-47.85117681,1,1,1,6,49.10218688,23.40487088,52.33%
BP,TD,0x766d9b,48.78080436,13.78706746,-24.1840471,80.91368821,-29.06850282,-14.2462114,80.22175991,-23.00263603,-34.10041395,89.15434431,-13.09148817,-18.69940636,84.79538473,-19.67899202,-26.21485391,1,1,1,4,20.37677479,9.702922792,52.38%
BP,TD,0xa44881,44.50576959,46.05711062,-14.41293117,81.04917412,-5.577315023,67.11498281,76.44825175,-20.74482619,73.93244915,84.21563747,3.151311631,35.71385375,89.98969913,-20.68580364,51.57752034,1,1,1,1,36.79467094,17.5195372,52.39%
BP,TD,0xa44881,44.50576959,46.05711062,-14.41293117,81.12582633,-33.37961073,28.17906205,79.46561559,-48.83186691,19.86055258,86.96306577,-19.12828908,9.94663266,88.47446904,-37.08170646,23.83518836,1,1,1,2,32.19938048,15.33047424,52.39%
BP,TD,0xc26623,53.23649988,32.76901856,53.92474708,62.19379117,28.32811045,-23.81632453,55.18032722,31.2674501,-49.20177015,72.47400642,40.31190425,-22.49016284,68.38630389,36.8756363,-42.70474306,1,1,1,5,33.08146696,15.74995026,52.39%
BP,TD,0x9c2a32,35.4962522,49.21203717,25.34967429,32.92719973,48.80619734,7.084447269,25.2140669,30.1294496,-5.133863089,44.88396993,55.99029883,8.857726978,40.1289729,45.05588921,-3.7968394,0,0,1,6,29.65272454,14.09777267,52.46%
BP,TD,0xd4aa00,71.72807924,2.00251253,79.47601408,87.01984148,-33.03508633,84.96692935,84.72278215,-51.43769064,84.84472302,100,-24.25938341,96.69772705,97.38385661,-42.69330489,82.37347405,1,1,1,2,36.57017285,17.38323179,52.47%
BP,TD,0xc26623,53.23649988,32.76901856,53.92474708,67.02599156,13.82662598,-4.836257304,59.82996947,11.78115373,-25.3248446,75.57454848,27.30472769,-1.925107723,70.48889459,22.34322289,-22.4511199,1,1,0,6,32.19349007,15.27835997,52.54%
BP,TD,0x8c9f29,62.52076299,-22.90277981,57.6760033,38.44664417,7.492414275,-42.56997742,32.90822126,29.03132045,-61.36901089,70.08162535,-7.257479619,-14.04614109,68.21221295,21.98672181,-54.8065294,1,0,1,4,67.63808737,32.09777012,52.54%
BP,TD,0xac4759,44.21220949,44.46617137,11.06202252,76.24945091,-18.96001997,28.36707999,72.3619746,-35.74721463,22.11123888,80.84184416,-6.864128373,22.63196938,83.6605447,-28.28588438,26.62122258,1,1,1,2,30.10667733,14.27126793,52.60%
BP,TD,0xa44881,44.50576959,46.05711062,-14.41293117,80.90956241,-42.82638045,47.19177386,78.91148853,-64.77105596,45.4064317,87.42478243,-27.7483118,23.69242684,94.22510559,-51.18509744,43.26618701,1,1,1,2,36.76983167,17.42561593,52.61%
BP,TD,0x4b4448,28.94227574,3.851045134,-1.210267161,52.5913859,-33.02407374,42.49082677,45.83215958,-37.60720401,33.0576061,57.28968793,-31.86462999,25.19150391,57.67990988,-39.51269003,33.69284342,0,1,1,2,14.55331809,6.896186312,52.61%
BP,TD,0x4b4448,28.94227574,3.851045134,-1.210267161,52.5913859,-33.02407374,42.49082677,45.83215958,-37.60720401,33.0576061,57.28968793,-31.86462999,25.19150391,57.67990988,-39.51269003,33.69284342,0,1,1,2,14.55331809,6.896186312,52.61%
BP,TD,0x8c9f29,62.52076299,-22.90277981,57.6760033,62.11924632,-24.14252639,58.47551579,55.23676257,-35.85981012,50.82155692,78.56398829,-35.877667,68.59635429,68.03576196,-30.89882924,52.88168742,1,1,1,2,29.32751609,13.8805567,52.67%
BP,TD,0xac4759,44.21220949,44.46617137,11.06202252,66.83226925,14.25042255,-14.16396359,60.64901797,12.36773787,-36.59500258,71.44321645,31.97578669,-26.85080034,69.01523984,20.00537625,-34.32567812,1,1,0,5,24.41187777,11.55322561,52.67%
BP,TD,0x32252c,14.30647988,8.425655622,-2.12945129,76.1804186,-47.85266686,18.45604869,75.02631559,-52.40645982,9.611121909,76.13264284,-49.5897335,9.089091204,76.2397846,-51.71104371,9.230150637,0,1,1,3,3.070899417,1.449568802,52.80%
