BGLValue,FGLValue,NuetralValue,Region,Distance,BGFG,bgN
0,1,0,6,6.041987034,1,0
0,1,1,6,5.72538602,1,1
0,1,1,3,2.861422993,1,1
0,0,1,1,3.605055785,0,1
0,1,1,1,5.537707669,1,1
0,1,1,5,4.637240792,1,1
0,1,1,3,3.35193895,1,1
0,1,1,6,3.306657555,1,1
0,1,1,4,6.009537825,1,1
0,1,1,4,6.66878985,1,1
0,1,1,2,6.290336853,1,1
0,1,1,3,5.069869818,1,1
0,0,1,1,6.408119927,0,1
0,1,1,1,9.135449227,1,1
0,1,1,6,2.205767229,1,1
0,1,0,4,4.873371395,1,0
0,0,1,6,5.133047022,0,1
0,0,1,1,7.251022152,0,1
0,1,0,1,2.337046503,1,0
0,1,1,5,3.27566935,1,1
0,1,1,3,5.540589054,1,1
0,1,1,2,7.865911799,1,1
0,0,1,1,8.036681817,0,1
0,0,1,5,10.78952206,0,1
0,1,1,6,3.609564689,1,1
0,1,1,1,3.196072034,1,1
0,1,1,5,3.092203192,1,1
0,1,1,6,3.916610081,1,1
0,0,1,5,6.295732138,0,1
0,1,1,2,6.822171254,1,1
0,1,1,2,3.209798694,1,1
0,0,1,1,6.408119927,0,1
0,1,1,1,1.351965319,1,1
0,0,1,4,8.69999377,0,1
0,0,1,6,12.2047795,0,1
0,1,1,4,4.687845181,1,1
0,1,1,1,3.873901784,1,1
0,0,1,2,8.140546538,0,1
0,0,1,3,7.122487549,0,1
0,0,0,4,17.88891117,0,0
0,1,1,4,4.691385568,1,1
0,1,1,1,2.08933207,1,1
0,1,1,2,6.822171254,1,1
0,1,1,2,3.134497604,1,1
0,1,1,6,3.519071495,1,1
0,1,1,6,5.72538602,1,1
0,1,0,4,4.873371395,1,0
0,1,1,1,2.716112577,1,1
0,1,1,5,4.629912406,1,1
0,1,1,2,3.868714499,1,1
0,0,1,4,6.736170879,0,1
0,1,0,3,4.890779717,1,0
0,1,0,3,1.435200351,1,0
0,1,1,1,2.08933207,1,1
0,1,1,2,1.031289147,1,1
0,1,1,3,5.011371612,1,1
0,1,1,2,2.537864504,1,1
0,0,1,1,4.662932471,0,1
0,1,1,5,3.092203192,1,1
0,0,1,6,2.435845367,0,1
0,0,1,2,7.523629346,0,1
0,0,1,5,5.90338694,0,1
0,1,0,4,3.829679833,1,0
0,1,0,2,2.780315889,1,0
0,1,0,1,2.337046503,1,0
0,0,1,4,4.818598225,0,1
0,0,0,6,2.736784968,0,0
0,1,1,2,5.012618135,1,1
0,1,1,1,3.094136487,1,1
0,0,1,1,10.17261078,0,1
0,1,1,6,3.872255116,1,1
0,0,1,6,7.351128797,0,1
0,0,0,4,8.179171396,0,0
0,1,1,5,3.487531366,1,1
0,0,1,1,3.605055785,0,1
0,1,1,4,4.779467066,1,1
0,0,1,2,6.99983606,0,1
0,1,1,3,5.540589054,1,1
0,0,1,4,5.756109033,0,1
0,0,1,4,6.736170879,0,1
0,0,1,3,12.08253898,0,1
0,1,1,5,4.934915818,1,1
0,0,1,4,5.239818473,0,1
0,1,1,2,5.867157093,1,1
0,0,1,1,2.270534302,0,1
0,1,1,1,4.202625317,1,1
0,1,1,3,3.878725219,1,1
0,1,1,5,3.810194475,1,1
0,1,1,2,6.290336853,1,1
0,0,1,3,6.298591706,0,1
0,1,1,1,4.605402613,1,1
0,0,1,1,13.45072897,0,1
0,1,0,3,4.890779717,1,0
0,0,0,6,1.074615268,0,0
0,1,1,6,2.86671798,1,1
0,1,1,5,4.893086923,1,1
0,1,1,2,3.643353846,1,1
0,0,1,4,6.028802731,0,1
0,1,1,1,1.490258877,1,1
0,0,1,6,5.133047022,0,1
0,0,1,6,9.047031971,0,1
0,1,1,2,0.622062807,1,1
0,1,1,6,3.024178824,1,1
0,0,1,6,9.463209006,0,1
0,1,1,2,7.172708669,1,1
0,1,1,2,3.503975828,1,1
0,0,1,5,2.368206695,0,1
0,1,1,6,3.730630396,1,1
0,1,0,4,4.568904838,1,0
0,0,1,4,3.309551803,0,1
0,1,1,1,2.431598249,1,1
0,0,1,3,5.25962081,0,1
0,1,1,4,4.747586536,1,1
0,1,1,3,7.187666413,1,1
0,1,1,2,5.623900147,1,1
0,0,1,5,4.856807888,0,1
0,0,1,1,13.45072897,0,1
0,1,0,6,3.738750786,1,0
0,1,1,1,2.08933207,1,1
0,1,1,2,2.210670967,1,1
0,0,0,4,12.00221564,0,0
0,1,1,5,3.369809935,1,1
0,1,1,5,3.447327643,1,1
0,1,1,2,8.230098119,1,1
0,1,1,1,6.078007617,1,1
0,0,1,6,13.99357252,0,1
0,0,1,3,7.122487549,0,1
0,1,1,1,4.572910249,1,1
0,1,1,2,5.085559022,1,1
0,1,1,6,3.071333866,1,1
0,0,1,1,2.766742424,0,1
0,0,1,5,11.45740094,0,1
0,1,1,2,4.433555434,1,1
0,1,1,2,6.594473398,1,1
0,0,1,5,9.173185736,0,1
0,1,1,1,3.690446502,1,1
0,0,1,3,9.043798939,0,1
0,0,1,1,3.060012847,0,1
0,0,1,4,3.309551803,0,1
0,0,1,5,21.00378201,0,1
0,1,0,6,3.738750786,1,0
0,0,1,2,9.330534964,0,1
0,0,0,5,3.546364055,0,0
0,1,1,3,7.92393542,1,1
0,0,0,5,5.584962761,0,0
0,1,1,6,2.919784519,1,1
0,1,1,1,13.651906,1,1
0,0,1,4,13.4653011,0,1
0,1,1,2,6.434211551,1,1
0,1,1,2,3.442127203,1,1
0,0,0,4,12.00221564,0,0
0,1,1,2,6.378396197,1,1
0,1,1,3,4.074082773,1,1
0,0,1,4,4.76076723,0,1
1,1,1,5,15.55794371,3,3
1,1,1,6,48.07797475,3,3
1,0,1,6,77.4583037,2,3
1,1,1,2,12.34604988,3,3
1,1,1,2,8.243281499,3,3
1,0,0,4,58.51434718,2,2
1,1,1,2,6.925565629,3,3
1,1,1,3,11.88022401,3,3
1,0,1,2,33.77462982,2,3
1,1,1,3,10.34458817,3,3
1,1,1,4,7.174274703,3,3
1,1,1,2,6.607884316,3,3
1,1,1,2,6.985740926,3,3
1,0,1,5,87.94555073,2,3
1,0,1,3,32.22948462,2,3
1,1,1,3,8.605498116,3,3
1,0,0,6,68.47573323,2,2
1,0,1,1,62.2588209,2,3
1,1,1,3,9.067468141,3,3
1,1,1,1,34.89859005,3,3
1,1,1,6,37.19470179,3,3
1,0,1,3,32.22948462,2,3
1,1,1,3,11.46814919,3,3
1,0,1,5,103.3105727,2,3
1,1,1,3,9.869670194,3,3
1,0,1,6,78.38226398,2,3
1,1,1,3,9.159284337,3,3
1,1,1,3,10.5118312,3,3
1,0,1,5,95.82894065,2,3
1,0,1,3,31.9901494,2,3
1,1,1,6,44.92197039,3,3
1,1,1,1,14.81630138,3,3
1,0,1,4,52.89300346,2,3
1,0,1,5,92.7310572,2,3
1,1,1,5,18.21096708,3,3
1,1,1,1,7.621374231,3,3
1,1,1,1,8.584592523,3,3
1,0,1,6,81.89385161,2,3
1,0,1,4,48.02689425,2,3
1,1,1,5,23.52195063,3,3
1,1,1,1,17.1465945,3,3
1,0,1,1,68.87869973,2,3
1,1,0,4,7.735434299,3,2
1,0,1,6,47.66900704,2,3
1,1,1,3,11.65610239,3,3
1,0,1,5,79.1322481,2,3
1,1,1,4,7.174274703,3,3
1,1,1,1,6.485229361,3,3
1,1,1,1,34.11511746,3,3
1,1,1,1,5.450652317,3,3
1,0,1,2,10.69417368,2,3
1,0,1,1,36.65350001,2,3
1,1,1,4,11.49887247,3,3
1,0,0,2,62.87631291,2,2
1,1,1,3,10.10186068,3,3
1,1,1,5,9.399575993,3,3
1,0,1,5,91.69191753,2,3
1,0,1,6,53.01572212,2,3
1,1,1,1,6.876778357,3,3
1,1,1,1,4.154257514,3,3
1,1,1,1,3.943744267,3,3
1,1,1,3,9.232508165,3,3
1,0,1,1,56.97562257,2,3
1,0,1,4,81.14075821,2,3
1,1,1,2,10.91506254,3,3
1,0,1,5,66.55174514,2,3
1,1,0,6,15.57555377,3,2
1,0,1,5,81.02310977,2,3
1,1,0,3,11.443648,3,2
1,1,1,4,7.174274703,3,3
1,0,0,6,69.43604159,2,2
1,1,1,2,8.788700053,3,3
1,1,1,2,15.5742765,3,3
1,1,1,5,13.36718647,3,3
1,1,1,3,8.605498116,3,3
1,1,1,6,33.32030185,3,3
1,0,0,1,69.22616857,2,2
1,0,1,1,71.9690539,2,3
1,1,1,6,72.33573024,3,3
1,1,1,1,46.7618704,3,3
1,0,1,6,94.35888119,2,3
1,1,1,2,10.98983108,3,3
1,1,1,3,10.98659285,3,3
1,0,1,6,76.68745723,2,3
1,1,1,5,43.23765204,3,3
1,0,1,1,76.38256665,2,3
1,1,1,2,11.20554048,3,3
1,1,0,5,8.254939829,3,2
1,1,1,4,9.544689392,3,3
1,1,1,1,7.361239723,3,3
1,0,1,5,113.8242694,2,3
1,1,1,3,12.8425198,3,3
1,1,1,5,28.77915161,3,3
1,1,1,2,5.395599716,3,3
1,1,1,6,4.831125082,3,3
1,1,1,5,11.88816358,3,3
1,1,1,5,4.422130045,3,3
1,1,1,2,9.247363304,3,3
1,0,1,3,16.47755122,2,3
1,1,1,5,7.616615654,3,3
1,1,1,2,6.634112966,3,3
1,0,1,4,72.99114042,2,3
1,0,0,3,51.25651858,2,2
1,0,1,6,82.87258562,2,3
1,1,0,4,9.597222921,3,2
1,1,0,2,7.885337502,3,2
1,0,1,2,53.64924549,2,3
1,1,1,2,5.299712351,3,3
1,0,0,4,65.21161616,2,2
1,1,1,2,13.35894264,3,3
1,0,1,6,94.35888119,2,3
1,0,1,3,36.57208829,2,3
1,1,1,5,15.69603905,3,3
1,0,1,6,87.7469522,2,3
1,1,1,4,11.49887247,3,3
1,0,1,5,81.02310977,2,3
1,0,1,5,84.87094224,2,3
1,1,1,6,7.77286638,3,3
1,0,0,6,68.47573323,2,2
1,1,1,3,5.920431964,3,3
1,1,1,3,11.7897079,3,3
1,1,1,6,40.47752989,3,3
1,0,1,4,51.50321763,2,3
1,1,1,2,9.247363304,3,3
1,0,0,3,32.20127025,2,2
1,1,0,4,8.548447696,3,2
1,1,1,2,8.422322258,3,3
1,1,1,6,33.34294948,3,3
1,0,1,6,67.0867489,2,3
1,1,0,4,10.89642562,3,2
1,1,1,6,37.73770899,3,3
1,0,1,1,38.29557786,2,3
1,0,1,5,87.43455299,2,3
1,0,0,6,59.56974834,2,2
1,1,1,2,6.365024429,3,3
1,0,1,6,57.33789435,2,3
1,1,1,5,11.88816358,3,3
1,1,1,2,12.66064517,3,3
1,1,1,3,9.472806551,3,3
1,1,1,4,8.924411237,3,3
1,0,1,4,67.32920137,2,3
1,1,1,2,5.372378536,3,3
1,1,1,1,14.88682403,3,3
1,1,0,3,11.35224755,3,2
1,1,1,1,31.08267857,3,3
1,0,0,4,54.41066046,2,2
1,1,0,1,6.009694501,3,2
1,1,1,5,13.72481946,3,3
1,1,1,3,10.86967529,3,3
1,1,1,5,27.54820768,3,3
1,0,1,6,76.58216027,2,3
1,0,1,4,66.3223883,2,3
1,1,1,2,5.318411921,3,3
1,1,1,1,7.114164399,3,3
1,1,1,2,6.985740926,3,3
1,0,1,4,51.50321763,2,3
1,1,1,6,9.663790144,3,3
1,1,1,2,13.35894264,3,3
1,0,1,5,87.91390079,2,3
1,0,1,1,46.87204689,2,3
1,0,1,2,32.99876734,2,3
1,0,1,2,27.65711911,2,3
1,0,1,3,14.57609956,2,3
1,0,1,6,92.68806224,2,3
1,0,1,5,69.76476906,2,3
1,1,0,4,7.735434299,3,2
1,1,1,1,2.083729958,3,3
1,0,1,5,97.05859655,2,3
1,0,1,6,103.9823925,2,3
1,0,0,2,58.08134387,2,2
1,1,1,1,11.96161415,3,3
1,1,0,1,6.009694501,3,2
1,0,1,6,64.66696742,2,3
1,0,1,3,14.98354728,2,3
1,0,1,4,66.3223883,2,3
1,1,1,2,9.998381452,3,3
1,1,1,6,6.441418986,3,3
1,1,1,2,8.855903136,3,3
1,1,1,4,13.43446649,3,3
1,0,1,3,21.49588779,2,3
1,0,0,1,69.74294152,2,2
1,0,1,3,14.98354728,2,3
1,1,1,6,25.21369836,3,3
0,1,1,1,1.996160483,1,1
1,0,1,3,31.52489697,2,3
1,1,1,6,1.325152418,3,3
1,1,1,3,9.138880382,3,3
1,1,1,4,8.059936242,3,3
1,1,1,6,25.21369836,3,3
1,0,1,6,95.7792312,2,3
1,0,1,2,33.77462982,2,3
1,0,1,3,32.1982026,2,3
1,0,1,5,82.48318208,2,3
1,1,1,4,8.059936242,3,3
1,1,1,1,25.25120794,3,3
1,1,1,3,13.81524489,3,3
1,0,1,1,68.81934079,2,3
1,1,1,2,17.00983892,3,3
1,1,1,3,10.86967529,3,3
1,1,1,5,46.06141239,3,3
0,0,1,1,59.28785826,0,1
0,1,1,3,3.673994265,1,1
0,0,1,5,40.06891163,0,1
0,1,1,6,5.206351898,1,1
0,1,1,6,13.81515376,1,1
0,1,1,4,1.68850121,1,1
0,1,1,5,4.578491432,1,1
0,0,1,1,60.93110115,0,1
0,0,1,5,25.19397914,0,1
0,0,1,3,93.49882334,0,1
0,0,1,1,64.05985287,0,1
0,0,1,5,16.61557716,0,1
0,1,1,3,6.181828363,1,1
0,1,1,3,46.53690898,1,1
0,1,1,2,27.20223166,1,1
0,1,1,6,13.73004753,1,1
0,0,1,5,28.45412979,0,1
0,0,1,4,5.715203096,0,1
0,0,1,6,27.18740521,0,1
0,1,1,1,91.95215985,1,1
0,1,1,2,76.87047912,1,1
0,0,1,5,63.61575897,0,1
0,0,1,1,70.96723906,0,1
0,1,1,2,3.191678883,1,1
0,1,1,6,64.84878347,1,1
0,1,1,5,3.612085224,1,1
0,1,1,3,5.603325427,1,1
0,1,1,3,21.90962164,1,1
0,0,0,2,55.56967567,0,0
0,1,1,3,7.143742664,1,1
0,1,1,2,48.85305176,1,1
0,1,1,6,3.802753339,1,1
0,0,1,1,66.44908018,0,1
0,0,0,1,62.62227916,0,0
0,1,1,1,36.27963333,1,1
0,1,1,3,3.65179334,1,1
0,1,1,1,99.37539243,1,1
0,1,1,6,66.60483563,1,1
0,0,1,4,23.62211893,0,1
0,1,1,2,84.81276838,1,1
0,1,1,2,57.6264531,1,1
0,1,0,1,3.495138343,1,0
0,1,1,1,32.12308796,1,1
0,1,1,2,3.965197806,1,1
