Type,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,52.60391491,42.28911175,8.747368119,42.77077821,18.23006978,-15.45965373,35.17046363,9.297308024,41.22158618,0,54.15386267,57.90514373,63.80291281,47.274807,15.46222423,-15.80819701
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,52.88555582,23.37125841,-0.023427678,47.03347203,15.57577164,-15.61692462,40.6119967,7.057612692,36.92145168,0,56.66206284,56.53698513,63.07814693,48.76013399,11.9342884,-14.88970984
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,95.27125257,-29.11701321,71.64626356,59.35650351,-18.27575231,23.83729479,55.06604264,-30.76022665,43.00885273,0,85.47286483,-62.56177899,72.36549239,66.90777629,-25.33497434,5.92632477
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,51.8349624,57.00968062,57.14480758,36.49902453,13.55372017,28.06421361,26.29984088,-1.455617906,-40.33809789,1,38.81788679,0.229722005,-5.09475666,47.40449543,12.07808797,-39.99984073
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,76.14322056,-33.56472162,-4.901634048,59.82544501,-9.964767525,-19.05527533,55.59269159,-20.39659149,4.936483518,0,57.43717777,-23.35751982,18.67099923,62.33843563,-13.66639815,-18.26232082
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,47.71671804,46.26907853,-76.03745278,40.86430725,27.57256071,-50.791118,32.61034887,21.89815384,-33.15095682,0,29.56533779,23.19803832,-28.01318949,41.5322377,27.23471287,-54.23918277
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,20.42397118,-14.33274614,28.32992087,24.54468658,-7.153273852,17.84740453,1.364986566,72.06844466,-85.93197662,1,43.59288169,18.32548466,4.903319054,49.94183697,18.86018205,-34.62985261
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,33.84509602,-41.4070041,39.96769186,35.58656422,-36.51505052,30.61997548,24.87087213,-62.68728311,-43.96389235,1,34.1069717,-28.9039816,4.388160013,45.90691825,-1.212798379,-32.46484791
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,80.86997229,-24.57603065,80.51183504,59.16820332,-27.64300972,64.06933734,54.85421752,-42.61183424,9.885365239,0,57.15875479,-51.86874984,27.55221864,63.87650446,-26.81611135,-7.605255374
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,52.9803443,9.09596879,0.401837621,49.62925475,3.614670146,-11.74095426,43.78341536,-7.624798706,39.96073482,0,48.06854832,7.752250537,54.89144154,53.10237652,-1.09840455,-6.338852465
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,71.45892334,37.86688529,-0.283438744,56.88982552,5.4589666,-22.36612979,52.27407775,-2.752778892,2.04637711,0,66.64503209,32.85469494,27.595739,61.955044,3.555439602,-20.77606045
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,52.81664751,-5.505953286,42.37569204,49.05652317,-14.19970553,29.99963783,43.09122229,-32.39093637,-2.645628508,1,48.03958121,-38.73166639,9.080958585,55.74575927,-15.00262295,-25.32116759
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,28.90824461,38.43344994,-1.365694848,26.11323818,31.26049208,-15.78506142,3.287008434,37.47387054,-66.95022025,1,28.86318565,37.95227863,3.341530144,38.75997432,28.7202392,-41.80391856
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,80.99618449,-33.20130476,18.95966574,60.9005885,-3.52850452,-17.39236584,56.79558144,-12.34266915,6.705983913,0,62.19297282,-9.437174979,23.41534094,65.27095838,-6.791091769,-15.14028798
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,85.66871719,-28.9031465,72.01451973,59.92937132,-22.38678399,39.75357743,55.70924,-35.56842334,25.70371002,0,61.98996979,-48.01568914,42.44286483,65.63952142,-29.57443406,-0.276889477
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,43.301628,-33.32014607,23.15708185,42.86852917,-26.90139137,12.57367958,35.29929878,-65.16455819,-11.34021868,1,48.02457287,-43.01123318,18.27531565,56.01764053,-17.95757113,-19.60778778
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,79.55814625,-65.86210655,31.32622659,58.04654058,-26.49795192,-5.382837866,53.58806381,-41.87267076,32.98122963,0,52.17478751,-53.36185305,41.82774418,59.50738152,-29.60499891,-2.89872641
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,76.20166036,-0.229194172,51.76738946,59.9338834,-19.44045992,25.74368195,55.71429874,-31.91866215,42.55055755,0,85.47286483,-62.56177899,72.36549239,66.50464037,-23.08113357,4.311215759
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,46.37381203,69.23765355,20.55567341,29.41246464,38.44136815,-13.60722098,13.10104021,45.14557715,-47.10314124,0,27.31469038,51.78625436,0.689364035,35.12295051,40.84713845,-47.21122789
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,48.17278848,9.58479785,-19.01742107,45.88654743,10.96121983,-30.499569,39.17991893,0.494105421,-0.903143132,0,38.89397171,4.574310882,8.817071102,48.18434662,5.999171748,-30.37201844
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,29.82429276,21.68454874,-55.39850645,31.94311224,32.84782263,-62.1332321,18.53544248,31.4065415,-50.67179842,0,15.28340065,24.5930582,-46.9648368,34.02450255,37.49467231,-64.35392145
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,81.16062422,-0.27420532,-28.31893482,61.1374096,-2.101280555,-17.16892512,57.05971985,-10.58984039,6.867132542,0,71.4426607,28.11228984,32.48061381,65.98930941,-5.123929382,-15.29133551
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,81.08852261,18.62501609,-28.16587834,61.00602217,-2.441124423,-15.85919425,56.91321259,-11.02720714,9.082684751,0,66.8407257,14.2596019,27.81151295,65.75645014,-6.0099195,-14.45548144
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,32.25494493,60.38452374,-26.23169033,25.59345188,59.91092984,-47.9407506,1.706233434,103.4049602,-0.228927035,1,46.26831571,74.07952418,6.210221924,39.59730781,50.49479932,-53.03086233
BPTD,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,51.8349624,57.00968062,57.14480758,36.49902453,13.55372017,28.06421361,26.29984088,-1.455617906,-40.33809789,1,38.81788679,0.229722005,-5.09475666,47.40449543,12.07808797,-39.99984073
