UP,VP,Red,Green,Blue
0.127237522,0.53265317,30.88417328,9.599645279,32.08727103
0.138457229,0.424542294,23.89553109,15.91077379,11.4090405
0.126461784,0.528622032,29.1350425,8.972729009,29.89342357
0.121316093,0.56342387,29.74240618,7.956149316,41.71614711
0.130876115,0.491828142,24.60604873,10.66729198,19.80153504
0.125216578,0.540403555,26.13226003,7.743745965,29.06070278
0.185071965,0.156190294,31.52690932,74.79788485,24.06387996
0.137386631,0.534598589,51.32164485,23.33578732,56.46855869
0.148535616,0.371511757,23.6112437,21.76464192,10.98130366
0.123857922,0.553289876,29.68643775,8.400288042,37.51950205
0.208612831,0.220456141,23.73608943,53.75381391,14.11751415
0.141566638,0.462566514,43.91854991,28.04768108,37.25203357
0.12368303,0.555533653,34.46366906,9.086755476,43.05257675
0.153297753,0.369911574,36.15166842,42.09405737,22.81550331
0.135020169,0.475412541,28.54802693,14.00992357,23.04084115
0.125822585,0.53502195,28.33976122,7.601338434,29.66493972
0.142735576,0.519260226,60.64808336,38.12583609,54.02751713
0.131202933,0.543665415,48.26957481,18.82133086,52.57757686
0.134705801,0.458283489,26.35109057,11.01556152,21.03088686
0.136098131,0.440274533,65.89365495,53.50825909,53.47483196
0.165801818,0.303935406,23.38888541,33.98755288,12.54982245
0.151265823,0.414098934,23.9932145,17.81736776,12.76674756
0.141574586,0.397790055,51.70712933,50.0040491,38.11807947
0.143626893,0.406409028,38.38207884,31.54031555,24.72048947
0.124888421,0.536084619,34.21742196,10.73096241,35.19878734
0.129614492,0.535297387,56.30645941,25.21024299,53.72775176
0.124675229,0.543852079,38.77968889,12.82630211,41.03757214
0.211654755,0.353765805,51.22532742,74.76895765,32.73772946
0.158947855,0.322882941,34.68404983,45.79628617,20.11852636
0.133498146,0.497064277,34.67303048,14.66432627,29.48364316
0.177469393,0.153217467,26.45402173,70.31211282,18.97617748
0.162818955,0.272268436,29.56738236,47.22193984,15.83433706
0.161729597,0.381997202,22.85249864,22.55436928,11.63822798
0.1731127,0.36130422,49.80370571,59.94664393,39.52128642
0.152990443,0.345001611,38.54804023,43.86512268,21.75606509
0.178784653,0.296893613,22.6732428,37.46199818,12.54279619
0.160333902,0.409691294,22.78723128,18.49922423,11.66552374
0.191455188,0.393189849,51.0883406,61.97672829,41.18406714
0.145976002,0.390079017,31.97847052,25.6710025,19.19690155
0.123338441,0.560916396,28.79660008,7.835169404,42.32718371
0.140394233,0.435648378,21.51606321,16.74210812,9.681813134
0.133496074,0.536461844,44.97468795,19.3655291,50.55815431
0.134888438,0.503359533,36.42204131,18.51258511,32.25052738
0.156075808,0.452341137,56.7594158,50.89261387,48.27992353
0.173654342,0.174591692,25.58148436,60.65414205,15.45308567
0.16283293,0.43311138,61.15518844,52.52925778,57.80119234
0.160688666,0.395982783,60.31063918,60.81902223,47.6991835
0.135443323,0.48052081,37.28567168,18.05653187,28.93516856
0.136702128,0.452279635,29.19587555,15.78616288,22.81584217
0.12717376,0.519900415,26.64909648,7.503529072,26.55446475
0.151490733,0.403223207,59.00556226,62.08616728,42.43674653
0.176461382,0.176950466,27.5560341,69.24947862,11.03002471
0.160880869,0.249533568,28.80479001,51.6627652,12.58306896
0.141074057,0.524803175,60.61298385,33.40445049,60.31597709
0.17645829,0.357516203,59.74254382,68.65405874,42.53758875
0.142060706,0.44414619,66.65100974,55.8918991,58.16596996
0.16502994,0.209964072,24.6571673,54.54668947,8.866187409
