Type,Method,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,48.14173919,17.45390842,-51.78582827,46.36510541,-5.696770094,-13.68945792,29.64498559,-19.0971023,4.564364474,0,34.07351823,-43.15757346,-3.382145395,52.98231,-9.2447,-7.68652
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,31.82507218,56.93742752,-3.760624313,36.873896,33.556733,2.956272,47.1769384,51.57357594,58.37640572,0,15.34807526,33.64477607,-67.97512547,48.76013,31.17735,11.70441
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,47.87801793,-44.72974354,22.62735442,43.68296061,-35.06480408,4.798796466,38.20651075,-45.03009107,43.46483991,1,29.72217459,-69.05664685,-37.12168522,40.34467,-18.73886,-2.8785
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,37.41841854,66.40615171,-91.48430587,39.81527294,25.23056797,18.18757625,42.75293293,55.52532931,-85.76905143,0,22.45635666,13.0205063,-60.26856497,49.66547,0.81711,-29.42531
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,62.32962046,-9.872643089,38.02705654,54.563994,2.986962,18.252792,76.07782975,-48.42496645,75.13176511,0,45.65281574,-14.247966,-5.50042646,58.93728,-0.13782,18.90932
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,76.4076363,28.39738172,-28.38792721,61.35974653,6.993625269,-0.33808049,76.26482969,-28.49315915,52.17435543,0,54.20015592,-4.86417145,72.79320821,61.61969,2.51132,8.19082
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,43.21655187,27.62610407,22.47356741,45.920491,19.065605,17.557795,38.83471251,-5.512662961,38.75595322,1,33.37915508,4.859428316,-36.35840917,59.19582,10.39296,14.38763
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,71.52484059,14.06295185,14.12670115,59.59853006,10.1781994,11.8024182,80.93620025,-14.29125012,61.71556277,0,52.04415905,-1.371303714,23.05838376,63.63111,6.80284,11.0719
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,43.40173872,4.418287946,-28.32405458,54.70998167,-6.443156219,8.660813742,38.60691677,-28.33633675,32.63478672,0,45.84385818,-28.53274209,4.969941887,46.48527,-2.46876,-2.21633
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.78317943,52.03099749,-33.0245192,57.87533409,14.43101012,-1.530879417,71.60754086,-0.196648603,47.05225072,0,49.89825126,3.650274398,42.39089715,61.168,11.22811,8.02012
