FgR,FgG,FgB,BgX,BgY,BgZ,FgL,FgA,Fg_B,BFL,BFA,BFB,BFDis,BFTime,QCHSL,QCHSA,QCHSB,QCHSCycles,QCHSDis,QCHSOffSet,QCHSTime,QCHSRatio,QCDL,QCDA,QCDB,QCDCycles,QCDDis,QCDOffSet,QCDTime,QCDRatio,SCL,SCA,SCB,SCCycles,SCDis,SCOffSet,SCTime,SCRatio
95,172,162,0.745060827,0.355030739,0.169754057,68.46781429,-27.81868286,-13.08163996,18,8,24,66.82029851,15084,18,8,24,14,66.82029851,0,136,110,18,8,25,25,68.25570228,1.435403774,211,71,18,8,24,14,66.82029851,0,220,68
60,13,186,0.490696858,0.227044847,0.493296434,30.61648836,74.08262795,-100.1704809,9,23,9,47.01782847,15438,10,22,10,12,47.27703007,0.259201593,152,101,3,25,13,29,66.83304921,19.81522074,260,59,10,21,11,13,48.63520302,1.617374552,218,70
146,79,223,0.575188105,0.240172773,0.184253791,47.11847577,67.6391873,-90.00794565,11,20,11,51.51930868,15060,12,18,13,12,52.42701066,0.907701976,162,92,16,24,19,28,76.47060319,24.95129451,278,54,14,22,18,7,69.79193801,18.27262933,129,116
147,215,239,0.857570031,0.953313802,0.78878452,85.41549429,-13.61282629,-25.1456995,9,21,12,23.24324181,15112,12,17,15,11,24.440396,1.19715419,158,95,13,15,16,32,26.13544778,2.892205967,339,44,11,18,14,10,23.74345215,0.500210338,163,92
97,207,193,0.36356993,0.624301191,0.264134907,80.24984976,-33.79611397,-22.05268589,5,31,5,5.903489319,15094,9,24,10,11,9.33688358,3.433394261,156,96,17,23,21,32,37.00474288,31.10125356,312,48,14,23,18,5,25.80945379,19.90596447,91,165
56,37,106,0.846378707,0.108861321,0.560811173,22.84435993,26.72584398,-44.3965438,18,8,24,91.05690545,15071,18,8,24,13,91.05690545,0,168,89,19,15,26,25,97.85747059,6.800565135,198,76,18,8,24,13,91.05690545,0,216,69
90,108,101,0.730463864,0.324451077,0.956263769,40.30367106,-10.55996764,-11.44778298,16,4,37,67.34414638,14930,17,6,36,12,67.81866089,0.474514506,219,68,19,14,30,26,77.46524675,10.12110037,217,68,17,7,35,14,68.11842839,0.774282006,237,62
75,102,82,0.421766709,0.144027416,0.729590617,40.35286607,-20.48915808,0.294301606,16,4,37,53.34092634,14933,16,4,37,18,53.34092634,0,195,76,19,14,33,26,66.78360887,13.44268253,212,70,16,4,37,18,53.34092634,0,293,50
217,83,26,0.111369896,0.470443216,0.20838463,46.42524537,43.34427605,45.11565379,11,38,19,94.95172505,14921,12,33,25,13,99.64755904,4.695833983,167,89,19,21,22,22,123.537554,28.58582896,156,95,16,26,23,8,111.3172168,16.36549175,129,115
112,142,227,0.099649682,0.613583743,0.721664623,63.45842397,26.87326566,-63.0027173,12,39,10,72.94347412,14927,15,31,15,12,86.32315952,13.3796854,147,101,19,21,22,22,127.8461763,54.90270215,153,97,16,29,16,10,92.57450405,19.63102993,154,96
84,149,22,0.001213503,0.952267433,0.978981695,56.82120945,-48.07088251,48.77509034,14,34,13,111.9197533,14927,16,29,16,10,112.0109612,0.091207944,140,106,19,21,22,22,121.9951811,10.0754278,151,98,16,29,16,10,112.0109612,0.091207944,154,96
149,212,93,0.911423595,0.081716226,0.237303144,79.09883328,-59.24335761,45.95764073,18,7,36,137.7027509,14920,18,7,36,11,137.7027509,0,140,106,19,14,36,25,146.4829927,8.780241794,198,75,18,7,34,14,137.8004984,0.097747483,222,67
51,75,241,0.633074838,0.504446569,0.29046637,45.37976309,74.10475312,-94.17282226,6,34,3,58.55551655,15034,9,36,7,14,63.01825593,4.462739381,190,79,13,35,12,27,80.21860141,21.66308486,246,61,14,28,16,9,87.42863666,28.87312011,155,96
161,214,71,0.894624177,0.570348239,1.01894671,78.00765352,-55.70257019,59.99523081,18,7,38,78.66017684,15251,17,3,38,12,79.35586252,0.695685678,143,106,19,14,37,25,87.77334142,9.113164577,196,77,18,7,38,17,78.66017684,0,260,58
196,69,107,0.179059004,0.13590399,0.879484596,41.57935667,44.43009645,-12.34110998,13,29,36,40.37594419,15178,13,29,36,10,40.37594419,0,128,118,10,36,35,22,49.12400465,8.74806046,183,82,14,27,30,9,45.79120998,5.415265794,154,98
55,171,237,0.838543661,0.224076623,0.22523603,70.13035835,9.580709804,-51.49938215,18,8,23,72.54678234,15097,18,8,23,13,72.54678234,0,140,107,18,9,22,23,73.40806172,0.86127938,182,82,18,8,23,13,72.54678234,0,208,72
205,112,50,0.468740768,0.370506878,1.02600147,51.45060152,24.35534523,37.09942738,17,20,39,63.6800816,15086,16,22,39,18,63.79321619,0.113134597,179,84,10,18,34,22,79.79076582,16.11068423,213,70,16,22,39,18,63.79321619,0.113134597,279,54
246,21,240,0.132015729,0.493069023,0.255936084,58.14604651,95.42371548,-72.16198877,12,39,10,113.8211052,15204,14,34,13,11,120.7751337,6.954028531,136,111,19,21,22,22,178.2680193,64.44691413,154,98,16,29,16,10,138.8290757,25.00797049,149,102
144,101,8,0.566481922,0.772739059,0.965766815,42.30769807,0.726123755,40.42701062,11,35,36,67.65093989,15103,0,20,22,21,78.87678187,11.22584198,75,201,0,20,22,21,78.87678187,11.22584198,134,112,12,32,36,17,67.77447153,0.123531646,262,57
156,231,199,0.30141091,0.115538846,0.550291909,85.2101992,-35.21363751,-12.57068173,17,5,29,19.33516027,15094,18,8,29,13,19.41105705,0.075896782,178,84,19,14,29,24,32.57009912,13.23493885,187,80,18,8,29,13,19.41105705,0.075896782,207,72
166,172,135,0.067795495,0.306739157,0.721957548,66.68767955,-21.84078658,2.44116575,12,32,35,22.62653808,14989,12,32,35,12,22.62653808,0,146,102,19,21,23,22,52.17633233,29.54979425,153,97,15,25,24,6,43.26977133,20.64323326,110,136
229,177,88,0.141299738,0.040825873,0.117421202,69.46953077,-1.299910173,44.02074948,15,16,36,4.769887968,15120,15,16,36,15,4.769887968,0,198,76,19,18,31,26,30.2018412,25.43195323,209,72,15,16,36,15,4.769887968,0,255,59
47,96,225,0.575821527,0.150315936,0.780824028,44.18269559,51.72502951,-91.90017939,15,13,18,50.88274352,15049,14,13,18,11,51.8722721,0.989528583,151,99,15,14,17,31,52.54536449,1.662620967,298,50,14,14,18,7,52.29476412,1.412020594,126,119
179,125,133,0.591529795,0.352554839,0.051578733,53.09147881,12.41667856,-12.17362754,14,13,19,44.50733226,14981,15,11,20,11,44.91590465,0.408572385,142,105,16,12,18,32,47.43711062,2.929778352,305,49,14,13,19,8,44.50733226,0,139,107
91,182,157,0.495765386,0.767694699,0.676015067,68.38386835,-33.23563749,-8.466862229,6,33,12,24.50763791,14940,7,33,13,12,24.79177178,0.284133873,181,82,8,31,14,34,25.79218311,1.284545198,368,40,7,32,13,14,24.96046593,0.452828022,235,63
137,91,90,0.217507008,0.45152886,0.528764273,36.59324408,11.11070464,-4.904926122,20,19,28,51.67438145,15017,11,37,21,11,52.00836412,0.333982667,151,99,11,37,22,22,52.21987417,0.54549272,197,76,14,29,23,10,62.05514071,10.38075926,171,87
44,252,137,0.896859041,0.329595969,0.817974018,0,0,0,16,4,37,109.6332829,14913,17,4,36,12,110.0247116,0.391428662,158,94,19,14,33,27,118.2380746,8.604791718,227,65,17,6,36,17,110.0068411,0.373558214,275,54
22,240,39,0.654649089,0.063538947,1.016755774,88.2781294,-87.06701818,76.24337288,18,7,38,158.57961,15307,18,7,38,18,158.57961,0,189,80,19,14,37,25,166.0337029,7.454092915,207,73,18,7,38,18,158.57961,0,281,54
198,8,113,0.788922005,0.98803851,0.401447417,39.19035959,58.24358825,-25.60797036,12,39,10,80.74035539,15589,12,39,10,10,80.74035539,0,137,113,16,29,16,27,99.01976167,18.27940628,252,61,12,31,12,12,89.79638317,9.056027782,213,73
