Type,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CS_Fg_L,CS_Fg_a,CS_Fg_b,ComC_Fg_L,ComC_Fg_a,ComC_Fg_b,GammutFlag,CSBin_Fg_L,CSBin_Fg_a,CSBin_Fg_b,Measuredc_Fg_L,Measuredc_Fg_a,Measuredc_Fg_b
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,71.52159846,-33.65992911,72.07491998,59.02057912,-32.03326647,65.48232774,66.63756362,-55.04766044,10.72478095,0,66.63756362,-55.04766044,10.72478095,66.46640482,-12.20414488,-29.86307609
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,66.94249941,33.07050205,-14.19799517,55.62425902,9.123200537,-24.6709712,61.44591776,25.35222409,30.05002548,0,61.44591776,25.35222409,30.05002548,61.67147487,0.503784292,-17.96090782
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,52.68186234,-9.750147107,37.44153989,49.09952155,-14.9429556,23.76816744,44.17514188,-42.39762927,-27.20760238,1,44.17514188,-42.39762927,-27.20760238,57.15328501,3.376535578,-48.25479223
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,57.14305632,-48.01611313,18.32625533,55.40553433,-34.19425214,8.819404125,49.82534381,-103.6617632,-1.605978409,1,49.82534381,-103.6617632,-1.605978409,63.61469288,-17.21640729,-23.76318334
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,48.00248698,37.40767412,8.909812226,41.4062083,19.05387095,-11.23608305,37.84197765,27.53006395,-27.2863935,0,37.84197765,27.53006395,-27.2863935,49.30146721,29.61606343,-52.71851725
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,76.15566381,-38.5386841,-0.362560021,59.78017067,-11.59213442,-20.05011061,71.78798862,-57.9805713,43.29570135,0,71.78798862,-57.9805713,43.29570135,66.10524468,-22.91300077,-10.86660847
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,15.96286606,-26.5519907,22.53485741,21.46864228,-19.65545773,7.86980471,25.87621185,47.64119311,-67.92301649,0,25.87621185,47.64119311,-67.92301649,39.74838819,50.93317641,-81.85346454
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,52.65777936,13.78631594,18.54561124,47.68795762,2.598366548,3.795332508,44.14376332,-4.856225725,-17.54048892,0,44.14376332,-4.856225725,-17.54048892,54.37540334,8.017223133,-44.417275
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,90.51376898,-10.65138622,89.5699458,58.47581915,-26.4413553,63.62555215,87.30082352,-19.93657853,53.29299599,0,87.30082352,-19.93657853,53.29299599,69.01124029,-8.10494306,-13.623293
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,76.17407946,42.53796192,-9.693540992,59.29231175,3.118114385,-18.94679375,71.80828168,37.22604917,25.046297,0,71.80828168,37.22604917,25.046297,66.3821616,0.959366023,-26.57254638
