Type,Method,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,42.82788,78.40835,-65.81657,43.95921,29.70081,-20.15976,24.41906,38.04643,-38.10804,0.00000,30.19025,22.33318,-5.52996,42.58188,13.86282,-20.80940
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,76.22086,-60.65801,23.36995,55.86685,-37.89191,2.52640,85.31838,-82.22994,72.09958,1.00000,47.34438,-81.47451,19.80398,58.00856,-30.59299,4.64372
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,38.59974,32.69641,-0.41223,43.22667,20.16244,5.01479,38.59718,17.33445,47.65323,0.00000,28.93723,4.89352,-39.18116,46.92197,17.24677,9.30100
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,71.75773,-14.21982,0.19904,59.59853,-3.83135,7.23942,28.58315,38.15546,16.14805,0.00000,52.04416,-20.38267,31.24713,43.15242,26.75257,-9.20465
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,11.16003,14.52926,-23.57956,30.83098,-3.43256,-15.30671,15.69597,-24.68064,22.23356,0.00000,8.27467,69.22191,-75.52172,41.53224,-12.09278,-0.38838
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,90.48764,-14.08101,33.17944,65.80313,2.34512,18.24484,90.50703,-38.90755,77.18622,0.00000,59.50154,-9.11675,43.48106,65.02602,3.20662,16.08215
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,48.28344,-9.97841,28.01649,44.40454,7.35900,37.93737,39.05499,-4.78147,-4.20007,0.00000,30.93419,-19.36708,-49.39246,59.43430,-0.02488,-6.86759
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,71.54345,-14.41468,-18.79595,57.48237,-7.74446,-1.51186,21.70060,45.69042,-13.21708,0.00000,49.40331,-27.67137,39.33723,46.59170,38.13834,-16.43407
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,60.08678,-53.73973,28.69036,49.33805,-35.47629,7.64132,81.73501,-81.15660,78.19628,1.00000,38.50476,-112.22980,-16.41571,55.25726,-31.63578,14.97229
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,66.91480,-23.70495,14.09594,52.40899,-1.38153,11.27449,76.02192,-57.66917,57.02674,0.00000,42.78373,-23.09778,-7.48906,60.18571,-8.27611,6.49909
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,46.37619,79.59850,-45.14072,44.70252,35.25715,-9.50268,29.51272,23.20497,-0.13339,0.00000,31.42505,31.35194,-18.73951,55.49217,14.41716,7.68947
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,31.79211,56.04654,19.44140,34.12825,42.80062,19.33748,31.68779,56.42927,9.58791,0.00000,5.18131,71.07061,-93.56280,38.60337,38.40448,-14.90706
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,48.14174,17.45391,-51.78583,46.36511,-5.69677,-13.68946,29.64499,-19.09710,4.56436,0.00000,34.07352,-43.15757,-3.38215,52.98231,-9.24470,-7.68652
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,31.82507,56.93743,-3.76062,36.87390,33.55673,2.95627,47.17694,51.57358,58.37641,0.00000,15.34808,33.64478,-67.97513,48.76013,31.17735,11.70441
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,47.87802,-44.72974,22.62735,43.68296,-35.06480,4.79880,38.20651,-45.03009,43.46484,1.00000,29.72217,-69.05665,-37.12169,40.34467,-18.73886,-2.87850
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,37.41842,66.40615,-91.48431,39.81527,25.23057,18.18758,42.75293,55.52533,-85.76905,0.00000,22.45636,13.02051,-60.26856,49.66547,0.81711,-29.42531
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,62.32962,-9.87264,38.02706,54.56399,2.98696,18.25279,76.07783,-48.42497,75.13177,0.00000,45.65282,-14.24797,-5.50043,58.93728,-0.13782,18.90932
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,76.40764,28.39738,-28.38793,61.35975,6.99363,-0.33808,76.26483,-28.49316,52.17436,0.00000,54.20016,-4.86417,72.79321,61.61969,2.51132,8.19082
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,43.21655,27.62610,22.47357,45.92049,19.06561,17.55780,38.83471,-5.51266,38.75595,1.00000,33.37916,4.85943,-36.35841,59.19582,10.39296,14.38763
BP,TD,0x39469e,32.91127083,24.71398711,-51.44824535,,15.26408965,16.43366418,-36.62239023,0x373fa6,31.33946152,32.58337179,-58.93719936,71.52484,14.06295,14.12670,59.59853,10.17820,11.80242,80.93620,-14.29125,61.71556,0.00000,52.04416,-1.37130,23.05838,63.63111,6.80284,11.07190
