Type,Method,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CD_Fg_L,CD_Fg_a,CD_Fg_b,Com_Fg_L,Com_Fg_a,Com_Fg_b,GammutFlag,ComS_Fg_L,ComS_Fg_a,ComS_Fg_b,Measured_L,Measured_a,Measured_b,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,62.11371574,-48.35253771,63.37725644,57.58340934,-53.7668708,51.94081297,55.82555945,-89.07464935,-10.31645043,1,55.82555945,-89.07464935,-10.31645043,56.96808603,-12.23885589,-32.210528,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,57.36277164,37.65699238,8.748949067,46.86277332,34.24099704,-8.798202315,50.09632405,29.45929387,9.350103559,0,50.09632405,29.45929387,9.350103559,64.05550914,-4.891034657,-5.796770229,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,81.09848349,4.730353887,0.116687339,77.49263007,-1.390216733,-21.37424842,77.19267944,-4.682724299,36.70648218,0,77.19267944,-4.682724299,36.70648218,71.2553093,-0.369262823,-2.564767538,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,37.97765419,53.41723037,-20.22763479,28.95372151,47.21436836,-34.97751802,21.12780268,56.57346354,-45.75871375,0,21.12780268,56.57346354,-45.75871375,58.33013791,-7.678229319,-29.5673531,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,67.06365966,4.471056801,-13.96451079,61.79632807,3.267234386,-36.57232783,61.5848403,-9.234552148,30.34631577,0,61.5848403,-9.234552148,30.34631577,58.76082977,9.502562141,-37.7517016,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,20.26819016,21.32716418,-36.78467113,14.00129654,34.7862229,-47.49610539,22.79364782,29.76726917,-54.6966568,0,22.79364782,29.76726917,-54.6966568,64.16090947,-16.62640354,-37.3010046,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,48.18252998,-4.853328463,32.55093136,39.0962509,-10.51384472,12.73616271,38.09590107,-43.45842238,-38.73837399,1,38.09590107,-43.45842238,-38.73837399,43.1375437,22.32635288,-59.60519496,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,61.8114248,-53.29302048,58.89585738,58.28773623,-59.45165158,57.1609469,55.46762299,-98.5151042,-9.741034203,1,55.46762299,-98.5151042,-9.741034203,56.93875802,-12.93032585,-34.5999999,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,33.44222207,42.93606577,2.999727112,23.90152175,32.32769093,-8.987687215,8.537779558,46.59057035,-88.156233,1,8.537779558,46.59057035,-88.156233,50.40522725,5.566021425,-49.977717,,,,,,,
AD,ND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,0x373fa6,31.33946152,32.58337179,-58.93719936,56.49562065,82.08584822,-67.3455743,53.68582006,95.1816636,-79.85203438,49.02327954,83.59787165,-50.98756709,0,49.02327954,83.59787165,-50.98756709,65.07354467,32.98771951,-47.42192952,,,,,,,
