BinL,BinA,BinB,MeasuredL,MeasuredA,MeasuredB,MeasuredX,MeasuredY,MeasuredZ,R,G,B,OldR,OldG,OldB,Empty
100,-5,30,69.23384022,-67.3562644,66.8147739,0.20535,0.3967,0.07005,255,250,187,86,193,8,
100,-5,30,75.88167157,-74.08072895,74.50945985,0.25375,0.49695,0.0804,255,250,187,86,211,6,
100,-5,30,82.10380471,-80.07247676,79.89667099,0.30625,0.6049,0.09675,255,250,187,86,229,2,
85,-45,0,86.0789015,-42.24234067,-18.3417494,0.47845,0.68145,0.99895,44,227,205,86,234,210,
85,-55,20,86.14377213,-58.95958432,6.95819514,0.42155,0.68275,0.6587,49,230,164,86,237,171,
85,-65,45,86.59557685,-74.61552498,37.71961814,0.3777,0.69185,0.36685,50,233,113,86,240,122,
15,40,10,19.32895622,6.350784307,-1.192042518,0.03035,0.02825,0.0326,78,0,20,87,0,32,
20,50,-40,18.51846931,36.03320001,-47.93735069,0.048,0.02635,0.16885,70,0,100,87,0,108,
20,30,0,17.08420101,15.15050632,-13.16643455,0.02985,0.0232,0.0471,69,17,38,87,32,53,
20,25,25,16.13001789,7.893794983,-1.067115634,0.02385,0.02125,0.0245,70,20,4,87,36,19,
20,25,20,12.44823516,20.84131939,-8.728594465,0.02245,0.01475,0.02625,68,21,13,87,36,27,
30,45,-55,26.90502521,50.71894775,-71.9899948,0.0995,0.0506,0.42325,63,34,148,87,47,157,
40,70,-95,42.39174807,93.96767847,-99.3245723,0.314,0.12755,1.0888,50,38,251,87,50,255,
25,15,15,19.45357439,10.71323613,-18.04833065,0.03325,0.02855,0.06755,69,39,27,87,53,42,
30,20,-20,25.060339,15.53219972,-32.03979136,0.05425,0.04435,0.148,66,49,91,87,63,102,
30,15,-10,23.55539446,11.71887452,-22.98963898,0.046,0.03965,0.1032,68,51,74,87,65,87,
30,10,0,23.06721418,6.034637395,-13.18128765,0.04035,0.0382,0.0711,67,53,60,87,67,73,
30,5,15,23.98305349,-2.880266131,3.634217069,0.037,0.04095,0.0379,68,55,37,87,69,51,
35,30,-45,31.52063369,37.42673346,-63.46658159,0.1081,0.06875,0.41835,63,56,145,87,70,153,
40,50,-75,39.3266747,70.48989437,-102.9514677,0.22425,0.1085,1.06195,55,57,214,87,70,219,
35,10,-15,30.13262895,9.232962784,-28.57701883,0.0685,0.0629,0.172,66,66,96,87,79,106,
35,5,-5,29.26058235,2.047539345,-16.87249845,0.05825,0.0594,0.11635,67,67,79,87,81,91,
40,20,-40,35.6549038,27.80467191,-60.41686898,0.11945,0.0883,0.45455,62,74,150,87,87,158,
45,35,-65,43.47040743,55.47308933,-93.4316666,0.2305,0.13475,1.02425,55,80,211,87,92,216,
40,-15,30,34.10753092,-18.67540974,16.30857295,0.0584,0.0806,0.04685,67,87,34,87,100,47,
45,-15,10,40.35286607,-20.48915808,0.294301606,0.08365,0.11465,0.1237,65,100,79,87,113,90,
45,-20,25,39.23303036,-24.90372071,14.84212671,0.07365,0.10795,0.0707,66,101,53,87,114,66,
45,-25,45,39.4115317,-31.3716245,32.52564604,0.0679,0.109,0.03405,67,103,11,87,115,27,
55,25,-65,54.10649043,51.48694663,-79.12674063,0.33635,0.22075,1.0888,51,111,241,87,123,245,
55,-30,20,50.97842032,-35.0022475,8.840281048,0.12415,0.1925,0.16505,63,132,85,87,143,96,
