BinL,BinA,BinB,MeasuredL,MeasuredA,MeasuredB,MeasuredX,MeasuredY,MeasuredZ,R,G,B,OldR,OldG,OldB,Empty
55,-35,35,51.41055111,-41.90266141,27.65893068,0.1169,0.19625,0.09455,63,133,58,87,145,70,
55,-40,60,51.35325355,-46.61068937,46.4690101,0.11005,0.19575,0.046,72,140,0,87,146,0,
60,0,-40,58.04179553,15.01421021,-65.82179487,0.2837,0.26005,0.98575,54,136,208,87,147,214,
60,-20,-10,56.68851208,-16.75515134,-26.41406573,0.1983,0.24605,0.4755,59,143,152,87,154,160,
60,-40,35,56.83101967,-49.86199249,27.60802915,0.14,0.2475,0.12795,63,149,69,87,160,81,
60,-45,55,56.41669365,-55.54727477,52.66743715,0.12845,0.2433,0.0512,63,150,25,87,161,38,
65,-15,-25,62.93581977,-6.375447642,-46.13356141,0.28295,0.3151,0.8236,53,156,195,87,166,200,
65,-50,55,62.93999473,-61.63846975,50.96211763,0.16445,0.31515,0.084,62,166,38,87,176,51,
70,-55,55,69.10473044,-66.94593508,52.79955372,0.20505,0.3949,0.1128,60,183,52,87,192,63,
75,-35,-5,74.34621033,-32.95393059,-20.51196042,0.3444,0.47245,0.74555,51,192,185,87,201,191,
75,-55,40,75.05456416,-63.98760453,32.98927815,0.2695,0.48365,0.2595,57,198,97,87,207,107,
80,-65,60,80.80546107,-77.41143719,58.0821838,0.29845,0.5812,0.1754,57,217,65,87,225,77,
15,40,15,17.08420101,5.199290436,2.900027479,0.02455,0.0232,0.0216,79,0,15,88,0,26,
100,-5,30,20.5960775,42.99473401,-56.10185435,0.0615,0.0314,0.2305,255,250,187,88,1,124,
25,45,-45,21.01852493,43.32667374,-58.90498611,0.0635,0.0325,0.2516,66,19,117,88,33,128,
20,25,30,15.24929639,13.80744362,-2.315435617,0.0249,0.01955,0.02415,73,22,0,88,36,0,
25,35,-30,20.44001557,30.03262827,-41.39969102,0.0498,0.031,0.1541,68,27,94,88,42,105,
25,20,0,19.16141864,11.31411991,-12.21785998,0.03285,0.02785,0.0526,69,36,49,88,51,62,
25,15,20,19.59786378,1.809863088,3.451986578,0.02845,0.0289,0.02645,71,38,15,88,53,35,
40,65,-90,42.03864092,87.25931779,-99.93337773,0.2921,0.12525,1.0888,51,44,242,88,56,246,
30,30,-35,25.63851524,32.04040567,-51.29616666,0.07195,0.04625,0.2538,66,44,115,88,58,125,
40,60,-85,41.17635908,81.34698372,-101.4200705,0.2678,0.11975,1.0888,53,49,233,88,61,237,
40,55,-80,40.27082656,77.49971244,-102.9813335,0.24925,0.11415,1.0888,53,53,223,88,66,228,
30,5,20,24.52885499,-0.337616126,4.118980262,0.0403,0.04265,0.0387,70,55,29,88,69,44,
35,-5,25,28.75978587,-8.625226656,9.918671406,0.0476,0.05745,0.0414,70,70,31,88,84,46,
45,40,-70,43.41887326,63.54486976,-97.5536668,0.24835,0.1344,1.0888,56,77,220,88,89,224,
40,10,-25,35.53763914,13.50940494,-41.54483754,0.0995,0.0877,0.3018,65,78,124,88,91,134,
40,-10,15,34.47779704,-13.1547362,4.448821194,0.06495,0.0824,0.07665,67,85,59,88,98,71,
40,-15,35,34.20061014,-20.32326263,24.16429016,0.0573,0.08105,0.03305,69,86,25,88,100,38,
50,30,-65,48.93952586,52.78907135,-88.03530024,0.28,0.17545,1.0888,55,95,225,88,107,230,
45,-5,-10,40.45916163,-3.821077031,-25.32157271,0.1045,0.1153,0.2512,65,97,113,88,109,122,
45,-10,0,40.30367106,-10.55996764,-11.44778298,0.0951,0.11435,0.17395,66,98,94,88,111,106,
45,-25,50,39.6981191,-31.44217565,32.31822155,0.06905,0.1107,0.0352,69,102,0,88,115,5,
50,-20,10,46.18398598,-23.99764129,1.082552348,0.1105,0.15405,0.1627,66,115,90,88,127,101,
50,-30,40,45.72992368,-35.87698411,28.97269081,0.09275,0.1507,0.06325,67,118,35,88,130,50,
55,-15,-10,51.44488295,-13.33860938,-24.02637491,0.16225,0.19655,0.37595,63,127,138,88,139,147,
60,-30,10,57.01691373,-32.29190476,-1.723072385,0.1713,0.2494,0.28285,62,146,116,88,157,125,
70,-25,-15,68.69327621,-18.37658786,-33.42471394,0.3168,0.3892,0.78645,54,174,190,88,183,196,
75,-40,5,74.8028484,-39.3765671,-9.366742773,0.33165,0.47965,0.6217,55,194,166,88,203,173,
75,-45,15,74.73022125,-47.78683815,3.473552908,0.3076,0.4785,0.48705,55,195,146,88,204,154,
85,-50,10,86.35030975,-50.63670094,-4.777503358,0.45285,0.6869,0.8103,49,229,185,88,236,190,
15,40,25,16.15519816,13.20815309,-6.344896664,0.0266,0.0213,0.0321,81,0,6,89,0,0,
15,40,20,15.32901432,15.52254682,-1.271485074,0.02595,0.0197,0.023,80,0,11,89,0,17,
20,45,-30,18.73543584,31.36522679,-34.34840739,0.04515,0.02685,0.1139,69,3,82,89,13,93,
20,40,-20,16.50365624,26.24844384,-26.86303659,0.035,0.022,0.07755,71,10,67,89,22,79,
20,35,-10,17.43693763,20.78741923,-17.45133965,0.0341,0.02395,0.05765,70,13,52,89,28,66,
20,30,5,16.15519816,16.28428956,-7.602308285,0.02825,0.0213,0.0341,70,17,32,89,32,46,
20,25,35,16.67511803,14.77084957,1.862546025,0.02865,0.02235,0.022,84,30,0,89,35,0,
30,50,-60,28.07410817,55.41654101,-77.23971482,0.11235,0.05485,0.48965,63,29,157,89,43,165,
25,30,-20,21.20739823,25.52756179,-31.31145924,0.04885,0.033,0.1184,70,30,78,89,45,90,
25,25,-10,21.09430513,19.37454012,-19.23222654,0.0438,0.0327,0.07835,70,33,64,89,48,76,
25,15,25,20.45959645,7.354717401,6.282677322,0.03385,0.03105,0.02465,71,38,13,89,53,28,
30,10,5,25.18341306,5.359379109,-4.826410346,0.0465,0.04475,0.05935,70,53,53,89,67,65,
35,35,-50,31.20753112,45.81582596,-70.28826458,0.1178,0.0674,0.47495,65,53,153,89,67,162,
35,20,-30,30.75970428,22.92422247,-44.85292325,0.086,0.0655,0.26885,66,61,120,89,75,129,
35,0,10,29.84975048,-4.111559224,-0.0652408,0.0551,0.06175,0.0674,70,69,55,89,83,68,
45,45,-75,44.95562567,69.44536188,-94.90409367,0.2787,0.1451,1.0888,56,73,229,89,86,234,
45,15,-40,41.93031631,27.072821,-61.67254653,0.1612,0.12455,0.57385,62,89,164,89,102,172,
