BinNo,Dsno,Distance
337,23318,1.769191143
338,23408,2.481323518
339,18970,2.94453931
340,20815,2.76503926
341,20774,2.66513125
342,20773,2.9718214
343,20772,3.524600815
344,20859,2.348405847
345,23273,2.625795378
346,23318,0.685898404
347,20730,2.577341709
348,20731,3.240092907
349,20731,2.036783132
350,23228,2.899690508
351,20774,1.89471981
352,21119,1.436890644
353,23139,2.238821757
354,23095,2.525440355
355,20988,1.127462355
356,21163,3.35108937
357,23007,3.51822584
358,22964,3.366510358
359,21032,3.53837155
360,22876,2.075617279
361,20731,3.681063142
362,22789,3.779527363
363,22532,2.208417375
364,22746,2.601109869
365,22790,2.652129712
366,22532,2.741101151
367,22658,3.571321877
368,22702,1.92982783
369,22617,2.264051708
370,22616,2.425526491
371,22660,2.114388692
372,22575,1.715056475
373,22574,2.837514058
374,22573,2.316304631
375,25075,1.7280463
376,22531,2.149665171
377,22533,2.026960802
378,22532,1.666804109
379,22532,0.806682279
380,25030,1.917310224
381,24940,3.638902087
382,24985,2.270552504
383,24851,2.153512426
384,24808,1.538475801
385,24720,2.6720225
386,24764,1.402848277
387,24633,2.06322215
388,24677,1.841954268
389,24589,2.802281719
390,24502,2.498966818
391,24546,1.50230737
392,24460,1.810541095
393,24418,3.094530593
394,24504,2.324769342
395,24417,2.564411277
396,24416,2.693138024
397,24460,2.025677798
398,24332,1.60525699
399,24331,2.666934938
400,24375,0.849432836
401,26832,2.36039211
402,24333,2.452767769
403,24335,2.368854191
404,26787,1.922286382
405,24331,2.558093629
406,26742,2.46208456
407,26607,2.644218806
408,26652,2.852168777
409,26564,2.001565138
410,26476,3.12966175
411,26520,1.766145796
412,26433,1.611680492
413,26346,2.673062986
414,28588,3.486858234
415,26390,2.358803647
416,26304,2.256343982
417,26302,2.371602748
418,26216,1.914312504
419,26260,0.50888532
420,26175,0.489649297
421,26219,2.612980491
422,26134,2.348016991
423,26134,2.370941455
424,26132,2.149291659
425,26477,2.807795487
426,26091,2.91647253
427,26132,2.714775753
428,26091,2.669495253
429,26091,2.93780453
430,28543,3.219448422
431,26090,3.170716411
432,26346,2.255970827
433,28499,2.315849999
434,28544,2.618185348
435,28454,2.398452198
436,28365,1.513139138
