BinNo,Dsno,Distance,l,a,b,lx,ax,bx
110,12206,2.66102903975489,28.68278408,24.53556145,-57.26501978,30,25,-55,
111,10141,3.33647848591596,25.1185251,2.45128535,-32.26036294,25,0,-30,
112,12205,2.00419954167824,29.65113495,26.95255888,-60.28744182,30,25,-60,
113,10141,2.41112265713038,25.0236957,-1.302876429,-27.97133936,25,0,-30,
114,16159,2.86678212490007,37.54435637,54.4211899,-91.361335,40,55,-90,
115,10053,1.89974598181742,24.53815248,-8.432551207,-19.03106453,25,-10,-20,
116,10097,2.04564955604173,24.9123062,-5.44687572,-23.00568458,25,-5,-25,
117,12162,2.65509592465833,28.88760307,19.18505938,-52.26891587,30,20,-50,
118,14182,1.36927547176907,33.69186319,39.94884652,-75.40134365,35,40,-75,
119,10054,1.63013737685486,24.60568278,-11.58145975,-14.9708992,25,-10,-15,
120,12161,1.73993818347538,29.82429276,21.68454874,-55.39850645,30,20,-55,
121,16158,1.93815763873213,38.84639426,56.062252,-93.8610226,40,55,-95,
122,10053,2.13014824009726,25.26160819,-9.727316602,-17.90363733,25,-10,-20,
123,10010,0.701825355981009,25.03200887,-15.61264014,-9.659109517,25,-15,-10,
124,12117,2.206427717191,29.77849909,17.03707875,-50.81827305,30,15,-50,
125,14138,1.6487975192972,33.70256877,35.12217994,-71.01008788,35,35,-70,
126,16115,3.1352934514962,37.50780251,49.19204072,-86.72227132,40,50,-85,
127,9924,2.25159178646652,24.49397994,-25.53249596,7.871606868,25,-25,10,
128,9967,1.43109152865302,24.88084759,-21.35615528,-0.44121256,25,-20,0,
129,9966,1.17402620763116,25.12859638,-18.84791542,-4.814253862,25,-20,-5,
130,9882,2.22645694642907,24.42665933,-31.40898246,23.37422036,25,-30,25,
131,9880,2.44037920450875,24.57786545,-29.544521,17.36004067,25,-30,15,
132,9880,2.97631533759706,24.71611199,-27.89803514,12.91203345,25,-30,15,
133,9923,1.56953774338461,25.07426493,-23.86366444,3.919872719,25,-25,5,
134,12073,2.58257321495941,29.79012147,12.33049184,-46.09290585,30,10,-45,
135,16114,1.66142649330956,38.80273618,50.89720278,-89.27755657,40,50,-90,
136,12074,2.47326455869835,29.54154155,8.296546805,-41.73352261,30,10,-40,
137,14094,1.68305423652168,33.70007825,29.78134326,-66.04645317,35,30,-65,
138,11985,2.14899981572097,28.89347908,1.292500053,-33.68727182,30,0,-35,
139,12030,2.28348429364742,29.65806678,3.548687527,-36.72947226,30,5,-35,
140,14050,2.30868968087561,33.5810507,25.37755658,-61.78159534,35,25,-60,
141,16070,1.78381111906242,38.62319111,46.12771456,-84.87900719,40,45,-85,
142,11941,2.3994011885268,29.09373852,-3.421442464,-28.43667908,30,-5,-30,
143,11986,2.23283821833005,29.88894633,-0.747151464,-32.10118973,30,0,-30,
144,14006,2.55013523947018,33.43529619,20.50111422,-56.95032722,35,20,-55,
145,11897,2.82409287330535,29.40035758,-7.626726756,-23.59163086,30,-10,-25,
146,11942,2.39042606084006,29.77159189,-4.739950453,-27.36523587,30,-5,-25,
147,14050,1.83597741131842,34.41426709,23.31149292,-60.42032589,35,25,-60,
148,16026,1.93601565455642,38.51120334,41.19352483,-80.32732186,40,40,-80,
149,9838,2.43963207077256,27.07512153,-35.10217447,31.27876333,25,-35,30,
150,11898,1.49306384323818,29.40051857,-11.09864436,-19.18584877,30,-10,-20,
151,11854,1.08500725119266,29.3892351,-14.86376836,-14.11363218,30,-15,-15,
152,13962,2.34143015251737,33.71607136,15.25533145,-51.94129551,35,15,-50,
153,11811,1.1065128815968,29.19240525,-20.6590848,-5.371172067,30,-20,-5,
154,14006,2.30076287836614,34.58816656,17.73762033,-55.0744397,35,20,-55,
155,15982,1.99085699442945,38.46758155,36.10919679,-75.62039322,40,35,-75,
156,11768,1.82482012636261,29.10341516,-25.86856434,3.668947745,30,-25,5,
157,11767,1.67206977914314,29.31796312,-23.60209595,-0.613601913,30,-25,0,
158,11810,1.7008064548932,29.81593434,-18.65988653,-8.969001301,30,-20,-10,
159,13918,2.67420944902874,33.75970893,10.6668629,-47.27340452,35,10,-45,
160,16114,2.63253507731212,42.37696357,49.72820495,-91.09836814,40,50,-90,
161,11725,2.33096433716275,29.11971982,-30.30425613,12.86319637,30,-30,15,
162,11724,2.27989982789645,29.28498681,-28.41885722,8.521254967,30,-30,10,
163,13962,1.91515426281598,34.60748531,13.19263617,-50.49717608,35,15,-50,
